,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_disposition
8009,3.17796408,134.35285,0.542,47.7,0.74,270.25,1034.0,5061.0,4.488,0.841,297.63519,41.641869,12.218,CANDIDATE
8010,3.05293416,132.96692,2.155,227.5,1.18,284.82,1047.0,5311.0,4.588,0.788,287.53503,49.801659,15.901,CANDIDATE
8011,36.2530992,142.0377,4.73,152.1,1.43,27.17,582.0,6002.0,4.424,1.081,296.70724,41.203651,14.71,CANDIDATE
8012,7.5017934,138.8271,4.271,134.8,1.32,283.25,1046.0,6321.0,4.417,1.125,293.12738,42.320099,15.438,CANDIDATE
8013,0.912351255,131.59612,1.072,111.8,1.46,2705.58,1840.0,5481.0,4.369,1.036,291.55051,50.825611,15.114,CANDIDATE
8014,12.4701111,143.7236,3.616,89.7,2.06,313.87,1074.0,5623.0,3.877,2.109,292.52939,38.489079,14.024,CANDIDATE
8015,3.495457889,132.083941,6.9796,114620.0,84.49,4186.71,2051.0,8529.0,4.249,1.558,294.07187,38.426922,13.444,FALSE POSITIVE
8016,4.01668015,134.240703,2.2828,38007.0,22.11,252.13,1016.0,5448.0,4.497,0.794,286.45258,38.538342,15.371,FALSE POSITIVE
8017,0.806277023,131.78567,7.275,70.8,0.89,4119.09,2046.0,6122.0,4.471,0.996,290.81723,38.53912,13.614,FALSE POSITIVE
8018,0.513482156,131.75477,2.732,91.6,0.83,4335.56,2072.0,5495.0,4.495,0.882,292.64017,38.513569,15.63,FALSE POSITIVE
8019,225.66716,195.6621,16.6,342.9,1.94,2.82,331.0,6363.0,4.444,1.035,298.21509,39.955101,13.718,FALSE POSITIVE
8020,4.24748886,132.0562,3.053,121.0,1.01,319.94,1079.0,5807.0,4.524,0.922,298.38226,39.913521,15.146,FALSE POSITIVE
8021,1.000012952,131.7614,1.221,36.0,2.12,15781.19,2858.0,5176.0,3.534,3.605,298.47495,39.92321,11.942,FALSE POSITIVE
8022,0.878803439,132.267269,2.74503,410720.0,51.97,775.9,1347.0,4524.0,4.566,0.737,283.61157,40.05624,15.929,FALSE POSITIVE
8023,8.65303996,136.66798,1.091,497.0,1.88,80.51,764.0,5301.0,4.528,0.84,289.08063,40.026791,15.639,FALSE POSITIVE
8024,12.4253812,141.5493,19.781,115.3,1.14,108.46,823.0,5925.0,4.412,1.066,297.57599,40.61364,13.854,FALSE POSITIVE
8025,12.42555999,133.96829,28.083,2964.8,4.72,30.49,599.0,4922.0,4.576,0.704,297.62177,40.604099,15.902,FALSE POSITIVE
8026,12.4257442,141.52382,29.122,936.0,8.43,1369.63,1551.0,8691.0,4.072,2.193,297.64334,40.62252,12.625,FALSE POSITIVE
8027,12.4254241,141.5418,24.98,378.9,2.17,76.9,755.0,5853.0,4.529,0.895,297.66238,40.68774,15.71,FALSE POSITIVE
8028,0.755109271,131.81838,2.619,23.2,0.47,3494.52,1961.0,5606.0,4.39,0.962,284.32294,40.71521,13.292,FALSE POSITIVE
8029,1.75251585,132.7544,3.489,125.9,1.02,1035.27,1447.0,5952.0,4.554,0.844,299.16608,41.863049,13.978,FALSE POSITIVE
8030,1.752450163,132.8015023,3.0255,55.5,0.79,1372.36,1552.0,5779.0,4.364,0.99,299.16617,41.861912,13.294,FALSE POSITIVE
8031,8.27923132,133.81711,2.355,164.9,1.08,104.49,815.0,5631.0,4.557,0.847,291.42236,41.978939,15.197,FALSE POSITIVE
8032,2.212877035,132.682428,4.66961,376200.0,69.18,1221.98,1507.0,6153.0,4.405,1.0,291.52811,41.915958,14.28,FALSE POSITIVE
8033,0.845097627,132.12136,1.873,86.5,0.78,1496.92,1584.0,5252.0,4.593,0.783,291.79865,41.963551,15.685,FALSE POSITIVE
8034,0.515875396,131.7013,1.21,1773.0,7.22,24441.1,3189.0,7229.0,4.278,1.38,294.67725,41.90464,13.591,FALSE POSITIVE
8035,2.83401711,133.5005,5.938,84.2,0.93,859.57,1381.0,6247.0,4.458,1.002,291.56744,42.856178,15.036,FALSE POSITIVE
8036,0.566803996,131.80782,3.399,141.6,0.64,786.1,1350.0,4373.0,4.722,0.544,291.58347,42.830051,15.989,FALSE POSITIVE
8037,0.56681118,131.7883893,2.06,421.1,2.39,141.6,878.0,5767.0,4.438,1.0,291.58682,42.890133,11.58,FALSE POSITIVE
8038,0.566799927,131.83464,4.71,145.1,0.77,1738.27,1649.0,5092.0,4.671,0.645,291.64725,42.861191,15.888,FALSE POSITIVE
8039,0.566786121,131.8363,3.404,81.8,0.79,3678.65,1984.0,5603.0,4.556,0.846,291.68314,42.884411,15.768,FALSE POSITIVE
8040,0.566802891,131.79487,1.861,49.2,1.29,22107.66,3111.0,6487.0,4.08,1.748,292.91879,42.850082,12.982,FALSE POSITIVE
8041,1.01884975,132.0857,3.233,30.9,0.47,2238.64,1754.0,6068.0,4.568,0.829,296.06284,44.018822,13.948,FALSE POSITIVE
8042,10.9279755,139.9174,2.486,71.5,0.81,114.42,834.0,6045.0,4.494,0.955,296.56937,44.01722,14.347,CANDIDATE
8043,32.440339204,142.2555263,4.50984,287600.0,44.56,9.52,448.0,5081.0,4.578,0.696,297.3703,44.09877,15.854,FALSE POSITIVE
8044,2.62387291,134.0049825,4.61248,232470.0,74.23,2430.91,1790.0,6728.0,4.206,1.46,299.82968,44.040359,13.7,FALSE POSITIVE
8045,3.671661096,132.0909174,4.29947,129240.0,105.82,3539.43,1967.0,7343.0,4.02,1.94,300.63577,44.053398,12.814,FALSE POSITIVE
8046,0.50948306,132.0386,3.14,74.6,1.22,19778.63,3024.0,6344.0,4.091,1.39,298.87738,45.203979,13.545,FALSE POSITIVE
8047,17.329965871,142.727156,8.43812,252720.0,42.58,21.34,548.0,5079.0,4.588,0.683,282.76163,45.398521,15.2,FALSE POSITIVE
