,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,ra,dec,tfopwg_disp
1483,5.41402,4.418,7780.0,15.9563,694.699,1185.0,6394.3,4.33,1.75,10.787,310.483618,-38.878003,FA
1484,62.1624516,4.319,3710.0,10.3408,10.4285,500.0,7546.0,4.24,1.66,10.4653,80.624017,-70.254329,PC
1485,1.27349,1.655,920.0,13.6856,891.053,1522.0,4982.0,4.33,4.35,10.3486,304.628882,-30.648846,FP
1486,4.0802864,4.8120529,4104.5873474,5.5237367,3.1063855,338.5973763,4658.0,4.53096,0.710768,11.0316,343.88039,-24.409733,PC
1487,0.8153098,1.373,189.0,1.19041,2785.3,2023.0,5729.0,4.47487,0.97,10.1583,296.355007,67.310971,FP
1488,11.5743561,6.0493763,14285.1321998,18.1309835,205.6631556,965.8481969,5776.0,4.13,1.4578,12.7778,278.989527,70.160757,PC
1489,12.3794491,2.79,530.0,6.72429,72.0531,811.0,6582.0,3.69,2.78,10.8841,270.277609,61.347153,PC
1490,85.4244796,3.6658465,1134.2233028,4.4208054,10.9176682,463.6093885,5697.0,4.21712,1.29609,9.9558,276.868143,73.264575,FA
1491,26.458069,3.117,404.0,2.52936,11.8255,516.0,5706.0,4.84423,1.37,9.34244,275.393588,62.369002,PC
1492,11.9526103,2.74,9860.0,11.4014,48.2015,1185.0,6049.0,4.438,1.25,12.0836,316.892698,74.383252,PC
1493,13.961418,4.5539281,792.671126,2.2841549,46.7589836,666.9388481,5270.9,4.438,0.813544,10.446,225.315683,40.946827,PC
1494,35.1896444,3.3254029,4524.9353925,2.2253696,0.6703132,230.7752258,3446.0,4.89707,0.326932,12.9672,194.739614,77.661716,CP
1495,9.6799809,1.806,15870.0,14.6081,31.1433,658.0,5980.0,4.39,1.11,12.2169,268.029535,62.79094,FP
1496,16.5899447,1.479,520.0,4.2671,18.1847,575.0,6690.0,4.1059,1.74,7.97758,244.5642,42.62706,PC
1497,4.0802864,2.67,13400.0,4.214299,1.3025049,272.4674275,3396.0,4.91468,0.334,12.4253,342.967188,-24.78778,FP
1498,0.3524586,0.8508711,293.5824518,1.6511948,6839.3993041,2319.3924521,5432.0,4.51,0.898416,9.75874,247.667,49.046789,CP
1499,1.9011481,1.042,1900.0,4.5911,183.197,1185.0,5392.0,4.33,0.99,12.4841,284.022679,70.25412,PC
1500,1.4937444,2.044,160.0,1.62102,2431.71,1956.0,6328.0,4.32136,1.28,10.4267,266.406455,59.514199,PC
1501,4.0802864,14.9235889,357.7289632,1.6330887,0.8574118,245.4240451,5599.0,4.57217,0.852643,9.7115,237.961131,83.110888,PC
1502,121.3342908,6.1861599,1830.5369311,4.1767182,4.5797413,373.1040687,6140.0,4.54184,0.957395,10.5653,295.927746,78.725919,PC
1503,0.8294084,0.5583289,254.6127529,2.4799192,4983.6132078,2142.9193755,5951.67,4.438,1.52424,9.1021,239.787768,32.395973,PC
1504,2.326343,1.2195051,4153.6144436,1.9763187,15.1203939,502.933455,3244.0,4.97167,0.261162,13.5042,245.28004,31.577041,PC
1505,3.4950422,1.0311342,2004.426903,1.2734423,6.0694989,400.3206181,3022.0,4.99625,0.242745,12.2591,65.061496,84.900824,PC
1506,2.0344366,0.958248,1142.0994266,0.901106,12.4881234,479.450797,3022.0,4.99625,0.242745,12.2591,65.061496,84.900824,PC
1507,2.2891027,0.8344032,1384.622855,0.9131404,10.6709326,460.9675388,3022.0,4.99625,0.242745,12.2591,65.061496,84.900824,PC
1508,7.1566025,1.218975,674.5586897,3.1263063,253.7528508,1017.9407073,5910.35,4.35957,1.13489,10.1338,226.46964,39.636553,PC
1509,1.4206036,1.6483243,448.0101837,1.1974247,148.490368,890.3162916,3872.0,4.69525,0.548484,11.9521,264.147896,77.126216,FA
1510,2.8411415,1.174,530.0,1.42162,35.9524,682.0,3872.0,4.69525,0.55,11.9521,264.147896,77.126216,PC
1511,10.4029111,1.3721731,824.1851185,1.8465904,10.4421274,458.4764117,3872.0,4.69525,0.548484,11.9521,264.147896,77.126216,PC
1512,4.0802864,1.51,30400.0,2.432614,0.2909982,187.3235245,2808.0,5.20628,0.128,13.8409,356.527357,-16.691464,PC
1513,4.0802864,4.6288711,261.9656428,2.7599934,5.4579122,389.8310122,6380.43,4.1278,1.61077,7.7293,244.382265,61.368246,PC
1514,26.5456672,2.582,8290.0,29.1697,28.3073,642.0,6180.0,4.06,1.68,11.8248,296.710289,70.071943,APC
1515,32.8236817,15.237374,368.5500142,5.1519952,206.9642192,967.3721204,6258.0,3.68336,2.63025,8.1526,359.853101,68.384119,APC
