,orbital_period,transit_duration,transit_depth,planet_radius,insolation_flux,equilibrium_temperature,stellar_teff,stellar_logg,stellar_radius,stellar_mag,ra,dec,target
9253,4.0107869,0.829,8290.0,24.4253,115.574,913.0,6175.1,4.23,1.38,13.3701,54.910139,28.98062,CANDIDATE
9254,2.144632238,6.2701,19837.0,59.19,2146.82,1736.0,6296.0,4.24,1.305,13.48,293.35129,43.13464,CONFIRMED
9255,24.8056775,6.148,624.4,2.16,28.22,588.0,5600.0,4.455,0.872,15.204,284.67728,44.79768,CONFIRMED
9256,482.51701,14.791,573.0,2.3,0.8,242.0,6168.0,4.488,0.96,15.054,297.48312,45.291142,CANDIDATE
9257,175.358905,5.34,215.0,2.9,7.36,420.0,5109.0,3.757,2.02,13.385,292.72238,42.242031,FALSE POSITIVE
9258,1.6318282,1.2668494,14067.4193794,11.5558043,806.9778488,1359.3620865,5084.0,4.48093,0.942522,14.8067,96.066232,-28.1347,CANDIDATE
9259,11.39102358,2.303,448.6,1.67,34.55,618.0,4983.0,4.617,0.728,15.681,294.11566,38.393478,CONFIRMED
9260,17.9051919,4.555,771.0,3.00633,76.5725,824.0,6223.0,4.33,1.24,9.56225,151.659783,18.634063,CONFIRMED
9261,10.1943985,2.1185967,280.7744557,2.3673561,231.1107952,994.4313507,6082.0,4.33287,1.32661,10.3014,99.224785,-63.079384,CANDIDATE
9262,127.905412,14.475,4020.6,8.03,6.09,401.0,5751.0,4.254,1.247,14.854,294.28098,42.29097,CONFIRMED
9263,20.5736113,11.222,76.0,3.86,484.82,1197.0,5440.0,3.404,4.524,13.33,292.55194,37.421211,FALSE POSITIVE
9264,2.189090653,5.2094,1027.1,23.25,466.32,1185.0,5401.0,4.593,0.777,15.875,285.89816,39.672218,FALSE POSITIVE
9265,472.071079,5.759,252.6,2.01,1.22,268.0,6186.0,4.358,1.253,14.002,293.72528,39.511971,FALSE POSITIVE
9266,20.3158735,5.276,39235.0,17.8657,37.1984,688.0,5725.0,4.53,0.91,12.9092,221.073871,77.946044,CANDIDATE
9267,5.589946,5.032,3840.0,12.1202,1816.63,1818.0,7437.0,4.09,1.95,10.1041,62.572982,75.170931,CANDIDATE
9268,88.433122,2.392,120.4,1.7,29.68,595.0,7092.0,4.176,1.525,12.749,291.51575,38.058418,FALSE POSITIVE
9269,9.08745206,3.786,35.1,0.73,217.95,980.0,5888.0,4.275,1.227,12.4,287.37125,39.603569,CANDIDATE
